phrase,sentiment
key index,38
regional market,24
regional peer,8
negative territory,8
industrial product,8
weak market,7
financial service,7
consecutive day,7
cautious timent,7
corporate announcement,7
today key,6
- day,6
mixed today,5
mixed timent,5
persistent buying,5
early gain,5
late buying,5
mild profit,5
line regional,5
cautious market,4
intraday low,4
timent regional,4
close index,4
tight range,4
day high,4
economic recovery,4
heavyweight stock,4
economic outlook,4
early trade,3
low today,3
mixed performance,3
overnight performance,3
intraday high,3
positive catalyst,3
weak timent,3
performance overnight,3
economic growth,3
mainly bank,3
fresh catalyst,3
day flat,2
fall regional,2
regional bourse,2
day low,2
level close,2
close investor,2
upside bias,2
performance regional,2
persistent selling,2
loss open,2
higher retreat,2
gain close,2
modest gain,2
psychological level,2
today mild,2
straight day,2
strong performance,2
unit worth,2
today persistent,2
taking emerged,2
trend regional,2
positive territory,2
index red,2
red zone,2
timent high,2
extended loss,2
local equity,2
mild buying,2
weak performance,2
tandem regional,2
overnight lunch,2
composite index,2
mixed midday,2
trade cautious,2
cautious mode,2
close open,2
breadth negative,2
negative loser,2
consecutive session,2
session flat,2
impact global,2
day weak,1
regional trend,1
reversed loss,1
red day,1
government new,1
new measure,1
week negative,1
slightly retreat,1
open mixed,1
product financial,1
close mixed,1
manic ride,1
amateur trader,1
form similar,1
similar group,1
pandemic trade,1
activity small,1
small cap,1
cap financial,1
mainly small,1
day mixed,1
day intra,1
low profit,1
significant jump,1
demand medical,1
medical glove,1
loss close,1
lower spur,1
today second,1
partly dampen,1
stock weak,1
firm note,1
modest recovery,1
current bond,1
morning key,1
weak territory,1
territory weak,1
weak risk,1
current momentum,1
week key,1
index tight,1
today daily,1
hunt attractive,1
attractive counter,1
close market,1
persistent profit,1
heavyweight counter,1
reversed gain,1
board nationwide,1
nationwide expansion,1
session key,1
high bargain,1
oversold counter,1
rally key,1
sigh relief,1
high trading,1
oversold stock,1
small gain,1
blue chip,1
corporate earning,1
timent ahead,1
total lockdown,1
nationwide implement,1
weakened government,1
week nationwide,1
nationwide lockdown,1
relentless surge,1
trend major,1
selected heavyweight,1
yesterday modest,1
external factor,1
high number,1
infection ongoing,1
upbeat momentum,1
momentum consecutive,1
annual review,1
overnight loss,1
recovery local,1
bourse trend,1
sse index,1
mild bargain,1
gain early,1
worker critical,1
economic sector,1
close intraday,1
stock strong,1
breadth positive,1
positive gainer,1
emerged consumer,1
service financial,1
peer key,1
negative momentum,1
loss financial,1
financial consumer,1
end positive,1
zone persistent,1
sustained selling,1
level new,1
new case,1
lack positive,1
broad selling,1
lack fresh,1
fresh market,1
appetite local,1
higher buoy,1
negative midday,1
midday overall,1
overall timent,1
lower compare,1
negative zone,1
zone overall,1
overall market,1
country economic,1
recovery daily,1
shortly prompt,1
emerged sector,1
slightly drive,1
inflationary pressure,1
sideways buy,1
today weak,1
coronavirus variant,1
variant effect,1
today late,1
index positive,1
extended week,1
level weak,1
timent benchmark,1
rapid spread,1
higher drive,1
timent domestic,1
counter unchanged,1
lower emerge,1
special cabinet,1
local bourse,1
bourse dire,1
dire need,1
foreign outflow,1
political quagmire,1
prime minister,1
yesterday strong,1
lower prevail,1
timent ongoing,1
political development,1
announcement new,1
political instability,1
main focus,1
high level,1
benchmark composite,1
month high,1
high barometer,1
continuous profit,1
upcoming holiday,1
mixed end,1
positive trend,1
market mild,1
media financial,1
end intra,1
high today,1
performance european,1
european stock,1
red today,1
combined dealer,1
extended downtrend,1
downtrend open,1
variant impede,1
impede economic,1
resurgence new,1
chief economist,1
expected hover,1
hover tight,1
note net,1
net purchase,1
purchase foreign,1
foreign fund,1
broadly outpace,1
flat roller,1
marginally loser,1
foreign participation,1
participation local,1
local stock,1
market economic,1
economic activity,1
downward trend,1
foreign investor,1
overnight benchmark,1
lacklustre trade,1
trade weak,1
chinese property,1
global market,1
week immediate,1
immediate support,1
service industrial,1
concern local,1
weak concern,1
concern bearish,1
medium industrial,1
outlook domestic,1
global front,1
mixed mid,1
heavyweight persistent,1
demand small,1
external development,1
lack domestic,1
domestic catalyst,1
reverse takeover,1
midday key,1
overnight rally,1
mainly spot,1
positive market,1
likely focus,1
gain fifth,1
resumption interstate,1
interstate travel,1
weighed loss,1
continued buying,1
property related,1
related stock,1
performance key,1
cautious trading,1
lacklustre trading,1
ahead table,1
session negative,1
week mixed,1
mixed note,1
late bargain,1
mode upside,1
consistent buying,1
loss last,1
sync key,1
session mixed,1
mixed barometer,1
barely move,1
interest key,1
flat benchmark,1
ongoing reporting,1
season fresh,1
total volume,1
emergence new,1
surge new,1
new infection,1
effect regional,1
heavy selling,1
late trading,1
ahead long,1
long weekend,1
whisker key,1
key level,1
likely trade,1
cheap valuation,1
valuation local,1
mainly sell,1
global bourse,1
possible impact,1
key market,1
