phrase,sentiment
key index,10
persistent buying,6
positive territory,5
regional market,5
corporate announcement,5
today key,4
economic recovery,4
industrial product,4
continuous buying,4
day high,3
heavyweight stock,3
positive cue,3
intraday high,2
cautious timent,2
participant watchful,2
week positive,2
steady gain,2
- day,2
line regional,2
session positive,2
upward momentum,2
territory continuous,2
regional peer,2
higher support,2
positive note,2
positive timent,2
positive momentum,2
performance regional,2
regional trend,1
robust ringgit,1
positive trail,1
intraday low,1
consecutive day,1
blue chip,1
gradually regain,1
sign global,1
ever give,1
watchful eye,1
eye global,1
overnight performance,1
today second,1
second day,1
morning cautious,1
cautious market,1
higher drive,1
glove industrial,1
net profit,1
cautious trading,1
high today,1
benchmark composite,1
composite index,1
close day,1
late bargain,1
regional uptrend,1
local equity,1
global context,1
crude palm,1
close index,1
time high,1
high morning,1
elevated support,1
continuous support,1
recovery global,1
global equity,1
early morning,1
higher snap,1
consecutive session,1
well compare,1
upward trend,1
sustained buying,1
mixed timent,1
early trade,1
hope stimulus,1
stimulus package,1
decline daily,1
local covid-,1
high thank,1
thank improved,1
improved market,1
today persistent,1
consistent buying,1
positive development,1
development local,1
local economy,1
anticipation swift,1
swift decision,1
expectation bullish,1
bullish earning,1
season positive,1
political development,1
session high,1
high note,1
mid -,1
boosted optimism,1
country new,1
positive economy,1
economy new,1
loss open,1
weak job,1
paring stimulus,1
stimulus measure,1
high lift,1
like approach,1
approach constructive,1
constructive attitude,1
negative momentum,1
morning sixth,1
sixth gainer,1
performance overnight,1
overnight benchmark,1
close intraday,1
investor confident,1
economic outlook,1
thank continuous,1
resumption interstate,1
interstate travel,1
optimism domestic,1
month high,1
uptrend midday,1
resumption economic,1
economic activity,1
psychological level,1
week bullish,1
sync upbeat,1
upbeat performance,1
optimism corporate,1
corporate earning,1
continued buying,1
positive week,1
week attractive,1
attractive valuation,1
valuation continuous,1
foreign inflow,1
sharp fall,1
recovery economic,1
broad recovery,1
extended gain,1
